Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
160		ⲙⲛⲧⲃⲁⲁⲃⲉ-ⲣⲱⲙⲉ							n. f. 			boastfulness		
161	ⲃⲁⲁⲙⲡⲉ		ⲃⲁⲙⲡⲉ						n. 			goat		
162	ⲃⲁⲁⲙⲡⲉ ⲛ ϩⲟⲟⲩⲧ								n. m.			he-goat		
163	ⲃⲁⲁⲙⲡⲉ ⲛ ⲥϩⲓⲙⲉ								n. f.			she-goat		
164		ϣⲁⲁⲣ ⲛ ⲃⲁⲁⲙⲡⲉ							n.			goatskin		
165		ϥⲱ ⲛ ⲃⲁⲁⲙⲡⲉ							n.			goat's hair		
166		ⲙⲁⲛⲉ-ⲃⲁⲁⲙⲡⲉ							n.			goatherd		
167	ⲃⲁⲓ		ϥⲁⲓ						n. m.			night raven, screech-owl		
168	ⲃⲁⲗ								n. m.			eye		
169		ⲁⲧⲃⲁⲗ							adj.			shameless		
170		ⲙⲛⲧⲁⲧⲃⲁⲗ							n. f. 			shamelessness		
171	ⲃⲁⲗⲟⲧ								n. f.			skin garment; skin bag		
172	ⲃⲁⲣⲱⲧ		ⲃⲁⲣⲟⲧ, ⲃⲁⲗⲱⲧ, ⲃⲁⲣⲁⲧⲉ						n. m.			brass, bronze		
173		ϩⲟⲙⲛⲧ (ⲛ) ⲃⲁⲣⲱⲧ							n.			brass, bronze		
174	ⲃⲁⲥⲛϭ		ⲃⲁⲥⲉⲛϭ, ⲃⲁⲥⲛⲏϭ, ⲃⲁⲥⲏϭ, ⲃⲁⲥⲓϭ, ⲃⲁⲥⲓⲛϭ						n. m.			tin		
175	ⲃⲁϣⲟⲣ		ⲃⲁϣⲁⲣ, ⲃⲁϣⲁⲁⲣ, ⲃⲁϣⲟⲟⲣⲉ						n. f.			fox		
176	ⲃⲁϣⲟⲩⲣ								n. f.			saw		
177		ⲣⲁ ⲛ ⲃⲁϣⲟⲩ							adj.			saw-toothed		
178	ⲃⲁϣⲟⲩϣ								n. m.			rue		
179	ⲃⲁϩⲥⲉ								n. f.			heifer		
180	ⲃⲥⲉⲃⲉ	(ⲃⲉⲃⲉ)							vb. Tr.			to pour fourth, rain down (ⲙⲙⲟ-)		
181		(ⲃⲉⲃⲉ)							vb. Intr.			to well up, be poured forth		
182	ⲃⲉⲕⲉ				ⲃⲉⲕⲏⲩⲉ, ⲃⲉⲕⲉⲉⲩⲉ, ⲃⲉⲕⲉⲩⲉ				n. m. 			wages		
183		ϯ-ⲃⲉⲕⲉ, ϯ ⲙ ⲡⲃⲉⲕⲉ							vb.			to pay, reward		
184		ⲧⲁⲓ-ⲃⲉⲕⲉ							n. m.			employer		
185		ⲣⲉϥϯ-ⲃⲉⲕⲉ							n. / adj.			employer		
