Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
	ⲧⲱⲱⲡ		(ⲧⲱⲡ)			ⲧⲉⲡ-	ⲧⲟⲡ=	ⲧⲏⲡ (ⲧⲏⲏⲡ)	vb. tr.			to accustom (ⲙⲙⲟ=; to: ⲉ)		
	ⲧⲱⲱⲡ		(ⲧⲱⲡ)			ⲧⲉⲡ-	ⲧⲟⲡ=	ⲧⲏⲡ (ⲧⲏⲏⲡ)	vb. intr.			to become accustomed (e: to), familiar with		
	ⲧⲱⲱⲡ		(ⲧⲱⲡ)			ⲧⲉⲡ-	ⲧⲟⲡ=		n. m.			custom, usage		
		ⲧⲟⲡⲥ	ⲧⲁⲡⲥ, ⲧⲁⲁⲡⲥ						n. f.			custom, habit		
	ⲧⲱⲱϭⲉ		(ⲧⲱϭⲉ  ⲧⲉⲕ-  ⲧⲟϭ=, ⲧⲟⲕ=, ⲧⲟⲟⲕ=)			ⲧⲉϭ-	ⲧⲟⲟϭ=	ⲧⲏϭ (ⲧⲏⲕ)	vb. tr.			(1) to join, attach (ⲙⲙⲟ=; to: ⲉ, ⲉϫⲛ); to ascribe, impute (ⲙⲙⲟ=; to: ⲉ) (2) to plant (ⲙⲙⲟ=)		
	ⲧⲱⲱϭⲉ		(ⲧⲱϭⲉ  ⲧⲉⲕ-  ⲧⲟϭ=, ⲧⲟⲕ=, ⲧⲟⲟⲕ=)			ⲧⲉϭ-	ⲧⲟⲟϭ=	ⲧⲏϭ (ⲧⲏⲕ)	vb. intr.			to join self (to: ⲉ, ⲉϩⲟⲩⲛ ⲉ), to cling		
		ⲧⲱⲱϭⲉ ⲙⲙⲟ= ⲉⲃⲟⲗ							vb.			to publish		
	ⲧⲱⲱϭⲉ		(ⲧⲱϭⲉ  ⲧⲉⲕ-  ⲧⲟϭ=, ⲧⲟⲕ=, ⲧⲟⲟⲕ=)			ⲧⲉϭ-	ⲧⲟⲟϭ=		n. m.			planting		
	ⲧⲱϣ					ⲧⲉϣ-	ⲧⲟϣ=	ⲧⲏϣ	vb. tr.			to limit, bound, determine (ⲙⲙⲟ=); to appoint, assign, destine (ⲙⲙⲟ=; to, for, over: ⲉ, ⲉϩⲟⲩⲛ ⲉ, ⲉϫⲛ, ⲛⲁ=)		ũ
	ⲧⲱϣ					ⲧⲉϣ-	ⲧⲟϣ=	ⲧⲏϣ	vb. intr.			to become fixed, limited, determined; to be moderate		
	ⲧⲱϣ					ⲧⲉϣ-	ⲧⲟϣ=		n. m.			ordinance, destiny; manner, fashion; affair, matter		
		ⲁⲧⲧⲱϣ							adj.			unlimited; immoderate		
		ⲣ-(ⲡ)ⲧⲱϣ							vb.			to prepare, put in order		
		ϯ-(ⲡ)ⲧⲱϣ							vb.			to give orders (to: ⲛⲁ=, e), provide (for: ⲉ, ⲛⲁ=)		
		ⲣⲉϥⲧⲱϣ							n. / adj.			commander		
		ⲧⲟϣ	ⲧⲱϣ		ⲧⲱϣ, ⲧⲟⲟϣ (?)				n.			border, boundary, limit; nome; province, district; bishopric		
		ⲣⲙⲛⲧⲱϣ							n. m.			man of nome		
		ⲣ-ⲧⲟϣ ⲛⲁ=							vb.			to be adjacent to		
		ϯ-ⲧⲟϣ ⲉ							vb.			to set limits to		
		ϫⲓ-ⲧⲟϣ							vb.			to adjoin (e, ⲙⲛ)		
		ⲧⲉϣⲉ			ⲧⲉϣⲉⲉⲩ				n. f.			neighbor; that which adjoins		
	ⲧⲱϩ		(ⲧⲁϩ-)			ⲧⲉϩ-	ⲧⲁϩ=	ⲧⲏϩ	vb. tr.			to mix, stir (ⲙⲙⲟ=; into, with: ⲉ, ⲙⲛ, ⲙⲙⲟ=, ϩⲓ, ϩⲛ)		
	ⲧⲱϩ		(ⲧⲁϩ-)			ⲧⲉϩ-	ⲧⲁϩ=	ⲧⲏϩ	vb. intr.			to become mixed, disturbed, clouded		
	ⲧⲱϩ		(ⲧⲁϩ-)			ⲧⲉϩ-	ⲧⲁϩ=		n. m.			mixture, disturbance		
		ⲁⲧⲧⲱϩ							adj.			unmixed, distinct		
		ⲙⲁⲓ-ⲧⲱϩ							adj.			meddlesome		
		ⲣⲉϥⲧⲱϩ							n. / adj.			meddler, mixer		
		ⲙⲛⲧⲣⲉϥⲧⲱϩ							n. f. 			confusion		
	ⲧⲱϩ								n. m.			chaff		
	ⲧⲱϩⲃ						ⲧⲁϩⲃ=	ⲧⲁϩⲃ	vb. tr.			to moisten, soak		
		ⲑⲁⲃ							n. m.			leaven		
		ⲣ-ⲑⲁⲃ	ϫⲓ-ⲑⲁⲃ						cpd. vb. 2			to become leavened		
		ⲁⲧⲑⲁⲃ							adj.			unleavened		
	ⲧⲱϩⲙ						ⲧⲁϩⲙ=		vb. tr.			to chase, pursue (ⲙⲙⲟ=, ⲛⲥⲁ)		
	ⲧⲱϩⲙ					ⲧⲉϩⲙ-	ⲧⲁϩⲙ=	ⲧⲁϩⲙ	vb.			(+/- ⲉϩⲟⲩⲛ) to summon (ⲙⲙⲟ=; to: ⲉ, ⲉϫⲛ); to knock (on, at: ⲉ)		
	ⲧⲱϩⲙ					ⲧⲉϩⲙ-	ⲧⲁϩⲙ=		n. m.			calling, convocation		
	ⲧⲱϩⲥ		(ⲧⲟϩⲥ=)			ⲧⲉϩⲥ-	ⲧⲁϩⲥ=	ⲧⲁϩⲥ	vb. tr.			to anoint (ⲙⲙⲟ=; with: ⲙⲙⲟ=, ϩⲓ, ϩⲛ); to pour (ⲙⲙⲟ=; on: ⲉ)		
	ⲧⲱϩⲥ		(ⲧⲟϩⲥ=)			ⲧⲉϩⲥ-	ⲧⲁϩⲥ=		n. m.			anointing		
		ϫⲓ-ⲧⲱϩⲥ							vb.			to be anointed		
	ⲧⲱϭⲛ		(ⲧⲁϭⲛ-  ⲧⲁϭⲛ=)				ⲧⲟϭⲛ=		vb. tr. 			to push (ⲙⲙⲟ=)		
	ⲧⲱϭⲣ		(ⲧⲱⲕⲣ, ⲧⲱⲣϭ)					ⲧⲟϭⲣ (ⲧⲟⲣⲕ, ⲧⲁⲕⲣ)	vb. intr.			to be joined, fixed (to: ⲉ; in: ϩⲛ)		
	ⲧⲱϭⲥ		(ⲧⲁϭⲥ=)				ⲧⲟϭⲥ=	ⲧⲟϭⲥ	vb. tr. 			to bleach, dye (ⲙⲙⲟ=)		
	ⲑⲃⲃⲓⲟ					ⲑⲃⲃⲓⲉ-	ⲑⲃⲃⲓⲟ=	ⲑⲃⲃⲓⲏⲩ(ⲧ)	vb. tr. 			to make humble, humiliate (ⲙⲙⲟ=)		
	ⲑⲃⲃⲓⲟ					ⲑⲃⲃⲓⲉ-	ⲑⲃⲃⲓⲟ=	ⲑⲃⲃⲓⲏⲩ(ⲧ)	vb. intr.			to become humble, be humiliated		
	ⲑⲃⲃⲓⲟ					ⲑⲃⲃⲓⲉ-	ⲑⲃⲃⲓⲟ=		n. m.			humility		
	ⲑⲏⲛ								n. m.			sulfur		
	ⲧϩⲓⲟ		(ⲑⲓⲟ)			ⲑⲓⲉ-	ⲑⲓⲟ=	ⲑⲓⲏⲩ	vb. tr. 			to cause to fall, bring down (ⲙⲙⲟ=)		
	ⲑⲗⲟ						ⲑⲗⲟ=		vb. tr. 			to cause to fly, to chase away		
	ⲑⲙⲕⲟ					ⲑⲙⲕⲉ-	ⲑⲙⲕⲟ=	ⲑⲙⲕⲏⲩ	vb. tr. 			to afflict, treat badly (ⲙⲙⲟ=)		
	ⲑⲙⲕⲟ					ⲑⲙⲕⲉ-	ⲑⲙⲕⲟ=		n. m.			affliction, ill-treatment		
	ⲑⲙⲟ								vb. tr. 			to warm (ⲙⲙⲟ=)		
	ⲑⲙⲥⲟ					ⲑⲙⲥⲉ-	ⲑⲙⲥⲟ=	ⲑⲙⲥⲟⲉⲓⲧ	vb. tr. 			to seat (ⲙⲙⲟ=)		
	ⲑⲛⲟ		(ⲑⲛⲟ)			ⲧϩⲛⲉ-	ⲑⲛⲟ=	ⲑⲛⲏⲩ	vb. tr. 			(+/- ⲉϩⲟⲩⲛ) to cause to approach (ⲙⲙⲟ=); to hire		
	ⲑⲛⲟ		(ⲑⲛⲱ=, ⲑⲉⲛⲟ=, ⲑⲁⲛⲟ=)				ⲑⲛⲟ=	ⲑⲛⲏⲩ (ⲑⲉⲛⲏⲩ)	vb. tr. 			to pound, crush (ⲙⲙⲟ=)		
	ⲧϩⲟ		(ⲑⲟ)						vb. intr.			to become bad		
	ⲧϩⲟ		(ⲑⲟ)						n. m.			badness		
	ⲑⲟⲟⲩⲧ		ⲑⲱⲟⲩⲧ, ⲑⲱⲑ						n.			name of 1st Coptic month		
	ⲧϩⲡⲟ		(ⲑⲡⲟ)				ⲧϩⲡⲟ=		vb. tr. 			to lead, accompany (ⲙⲙⲟ=; ⲉⲃⲟⲗ: forth)		
	ⲧϩⲣϣⲟ		(ⲑⲣϣⲟ)			ⲑⲣϣⲉ-	ⲑⲣϣⲟ=		vb. tr. 			to terrify, oppress		
	ⲧϭⲁⲉⲓⲟ		(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		vb. tr. 			to disgrace, condemn (ⲙⲙⲟ=)		
	ⲧϭⲁⲉⲓⲟ		(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		vb. intr.			to be disgraced, condemned (to: ⲉ)		
	ⲧϭⲁⲉⲓⲟ		(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		n. m.			disgrace, condemnation		
		ϭⲁⲉⲓⲉ	ϭⲁⲉⲓⲏ						adj.			ugly		
		ϭⲁⲉⲓⲉ	ϭⲁⲉⲓⲏ						n.			ugly person		
		ⲙⲛⲧϭⲁⲉⲓⲉ							n. f. 			disgrace, ugliness		
		ⲟ ⲛ ϭⲁⲉⲓⲉ							vb.			to be disgraceful		
		ϭⲁ							n. m.			ugliness		
	ⲟⲩ								interrog.			what? less commonly: who?		
		ⲟⲩ ⲉⲣⲟ=							vb. pers.			what does it profit (me, you, etc.)?		
		ⲟⲩ ⲛ							adv.			what of (partitive)?		
		ⲟⲩⲟⲩ							?			what? (with indef. art.)		
		ⲣ-ⲟⲩ							vb.			to do what? to be like what?		
		ⲉⲧⲃⲉ ⲟⲩ							adv.			why?		
		ⲉⲧⲃⲉ ⲟⲩ ⲛ ϩⲱⲃ							adv.			why?		
		ⲟⲩ ⲙⲛ ⲟⲩ							?			this and that, such and such		
	ⲟⲩ								indef. art. sing.			See 2.1.		
	ⲟⲩⲁ			ⲟⲩⲉⲓ					indef. pron.			one, someone		
	ⲟⲩⲁ			ⲟⲩⲉⲓ					num.	see 15.3.		one		
		ⲙⲛⲧⲟⲩⲉ							n. f. 	see 24.3.		eleven		
		ⲟⲩⲁ ⲟⲩⲁ							adv.			one by one		
		ⲟⲩⲁ... ⲟⲩⲁ...							?			one... the other...		
		ϩⲉⲛⲟⲩⲁ ⲟⲩⲁ							?			a few		
		ⲉ ⲡⲟⲩⲁ							distributive			one each		
		ⲡⲟⲩⲁ ⲡⲟⲩⲁ							adv. (?)			each one		
		ⲕⲉⲟⲩⲁ							n.			another one		
		ⲣ-ⲕⲉⲟⲩⲁ							cpd. vb. 2			to become another, be altered		
		ⲙⲛⲧⲟⲩⲁ							n. f. 			unity, unison		
		ⲣ-ⲟⲩⲁ							cpd. vb. 2			to become one; to unite with (ⲙⲛ)		
	ⲟⲩⲁ								n. m.			blasphemy		
	ⲟⲩⲁ								adj.			blasphemous		
		ϫⲓ-|ϫⲉ-ⲟⲩⲁ							vb.			to blaspheme (against: ⲉ, ⲉϩⲟⲩⲛ ⲉ)		
		ⲣⲉϥϫⲓ-ⲟⲩⲁ							n. / adj.			blasphemer		
		ⲙⲛⲧⲣⲉϥϫⲓ-ⲟⲩⲁ							n. f. 			blasphemy		
		ϫⲁⲧ-ⲟⲩⲁ							n. m.			blasphemer		
							ⲟⲩⲁⲁ=		pron.	used appositionally, as in =ntok ouaak - you yourself, you alone		-self, alone, only		
		ⲧⲉⲥϩⲓⲙⲉ ⲟⲩⲁⲁⲥ							n. f.			the woman herself		
		ⲛ ⲟⲩⲁⲁ=							adv.			-self, alone, only		
		ⲣ-ⲟⲩⲁⲁ=							cpd. vb. 2			to become alone		
	ⲟⲩⲁϩ								n. m.			pole, stave		
	ⲟⲩⲁϩⲃⲉϥ		ⲟⲩⲁϩⲙⲉϥ, ⲟⲩⲟϩⲃⲉϥ						vb. intr.			to bark, growl (of dog)		
	ⲟⲩⲁϩⲉ								n. 			oasis		
	ⲟⲩⲁϩⲓϩⲏⲧ		ⲟⲩⲁϩⲉⲓⲏⲧ						adj. 			cruel		
		ⲙⲛⲧⲟⲩⲁϩⲓϩⲏⲧ							n. f. 			cruelty		
		ⲣ-ⲟⲩⲁϩⲓϩⲏⲧ							cpd. vb. 2			to become cruel		
	ⲟⲩⲁϩⲙⲉ								n. f.			storey (of a house or structure)		
	ⲟⲩⲃⲁϣ							ⲟⲩⲟⲃϣ	vb. intr.			to become white		
	ⲟⲩⲃⲁϣ								n. m.			whiteness		
		ⲟⲩⲱⲃϣ							adj.	(aft. n., with or without =n)		white		
		ⲣ-ⲟⲩⲱⲃϣ							cpd. vb. 2			to become white		
	ⲟⲩⲃⲉ		(ⲟⲩⲃⲏ=)						prep.			against; toward, opposite		
	ⲟⲩⲉ							ⲟⲩⲏⲩ	vb. intr.			to become distant, far, far-reaching (+/- ⲉⲃⲟⲗ)		
		ⲟⲩⲉ ⲉ							vb.	idem with prep. =mmo/> ebol =mmo/> cabol =mmo/> ebol h=n		to be distant from		
	ⲟⲩⲉ								n. m.			distance		
		ⲟⲩⲉ ⲉⲡⲉⲥⲏⲧ							n.			distance downward		
		ⲉ ⲡⲟⲩⲉ							vb.			to a distance (from: ⲙⲙⲟ=)		
		ⲙ ⲡⲟⲩⲉ							adv.			at a distance		
		ϩⲓ=ϩⲙ ⲡⲟⲩⲉ							adv.			at a distance		
	ⲟⲩⲉ								num.			number one in higher numbers (11, 21, etc.)		
	ⲟⲩⲉⲉⲓⲉⲛⲓⲛ								n. m.			Greek		
		ⲙⲛⲧⲟⲩⲉⲉⲓⲉⲛⲓⲛ							n. f. 			Greek (language)		
	ⲟⲩⲉⲓⲛⲉ								vb. intr.	(subj. usu. period of time)		to pass by 		
		ⲁⲧⲟⲩⲉⲓⲛⲉ							adj.			not passing, permanent		
	ⲟⲩⲉⲓⲥⲉ						ⲟⲩⲁⲥⲧ=		vb. tr.			to saw (ⲙⲙⲟ=)		
		ⲣⲉϥⲟⲩⲉⲓⲥⲉ							n. / adj.			sawyer		
	ⲟⲩⲉⲓⲧⲉ		(ⲟⲩⲉⲉⲧⲉ)						vb. intr.			to waste away, dry up		
									vb. tr.			to dry up, make waste away (ⲙⲙⲟ=), +/- ⲉⲃⲟⲗ		
	ⲟⲩⲉⲗⲟⲩⲉⲗⲉ								vb. intr.			to howl		
	ⲟⲩⲉⲣⲏⲧⲉ		ⲡⲟⲩⲣⲏⲏⲧⲉ						n. f.			foot, leg (of person, animal, object)		
	ⲟⲩⲉⲣⲧ		ⲟⲩⲣⲧ, ⲟⲩⲁⲣⲧ						n. f. m.			rose		
	ⲟⲩⲉϩ-ⲣⲁⲥⲟⲩ					ⲟⲩⲉϩ-ⲣⲁⲥⲟⲩ			n.			interpreter of dreams		
	ⲟⲩⲉϭⲣⲟ								n. f.			doorpost		
	ⲟⲩⲏⲣ			ⲟⲩⲏⲣⲉ					interrog.			how much? how many? how great?		
		ⲟⲩⲏⲣ ⲡⲉ ⲛ?							vb. impers.	(also exclam.)		How great is N?		
		ⲣ-ⲟⲩⲏⲣ							cpd. vb. 2			to become how much/many? to amount to how much?		
		ⲛ ⲟⲩⲏⲣ							adv.			by how much? to what extent?		
		ⲁ ⲟⲩⲏⲣ							adv.			how long? how much more so (in syllogistic statement)		
		ⲥⲟⲩ-ⲟⲩⲏⲣ							?			such and such a day		
		ⲙⲉϩⲟⲩⲏⲣ							adj. (?)			the how-many-eth?		
	ⲟⲩⲏⲧⲉ								n. f.			calamity		
	ⲟⲩⲗⲗⲉ		ⲟⲩⲉⲗⲗⲉ						n. f.			melody, music		
	ⲟⲩⲗⲡⲉ								n.			depression in skin (left by disease or sim.)		
	ⲟⲩⲙⲟⲧ							ⲟⲩⲟⲙⲧ (ⲟⲩⲟⲙⲛⲧ)	vb. intr.			to become thick, swollen		
	ⲟⲩⲙⲟⲧ								n. m.			thickness, swelling		
						ⲟⲩⲛ-			vb. impers.	See Gr. In.		there is/are		
	ⲟⲩⲛⲁⲙ								n. f.			right hand, the right side		
		ϭⲓϫ ⲛ ⲟⲩⲛⲁⲙ							n.			the right hand		
		ⲉ ⲟⲩⲛⲁⲙ							vb.			to the right		
		ⲛⲥⲁ|ϩⲓ ⲟⲩⲛⲁⲙ ⲙⲙⲟ=							adv.			on the right of		
		ⲧⲏⲩ ⲛ ⲟⲩⲛⲁⲙ							n.			favorable wind		
	ⲟⲩⲛⲟⲩ				ⲟⲩⲛⲟⲟⲩⲉ				n. f.			hour		
		ⲛ ⲧⲉⲩⲛⲟⲩ							adv.			immediately, thereupon, forthwith		
		ϩⲛ ⲧⲉⲩⲛⲟⲩ							adv.			immediately, thereupon, forthwith		
		ⲡⲣⲟⲥ ⲧⲉⲩⲛⲟⲩ							adv.			for a while, for a moment, at present		
		ⲣⲉϥⲕⲁ-ⲟⲩⲛⲟⲩ							n. / adj.			astrologer		
		ⲧⲉⲛⲟⲩ							adv.			now		
		ⲧⲉⲛⲟⲩ ϭⲉ							conj.			so now, now therefore		
		ⲉ|ⲛ ⲧⲉⲛⲟⲩ							adv. (?)			now		
		ϣⲁ ⲧⲉⲛⲟⲩ							adv. (?)			until now		
		ϫⲓⲛ ⲧⲉⲛⲟⲩ							adv.			from now		
	ⲟⲩⲛⲟϥ								vb. intr.	also used reflex. with =mmo/		to rejoice (at: ⲉϫⲛ, ϩⲓϫⲛ)		
	ⲟⲩⲛⲟϥ								n. m.			joy, gladness		
	ⲟⲩⲛⲧ		ⲟⲩⲟⲛⲧ						n. m.			hollow place, esp. hold of a ship		
						ⲟⲩⲛⲧⲉ-	ⲟⲩⲛⲧⲁ=		pred. of possession:	see 22.1.		to have		
	ⲟⲩⲟⲉⲓ		ⲟⲩⲟⲓ						n. m.			rush, swift movement		
		ϯ-ⲟⲩⲟⲉⲓ							vb.			to go about seeking, search (for: ⲉ, ⲉϩⲟⲩⲛ ⲉ, ⲛⲥⲁ)		
		ϯ-ⲡⲟⲩⲟⲉⲓ	ϯ ⲙ ⲡⲟⲩⲟⲉⲓ, ϯ-ⲡ(=)ⲟⲩⲟⲉⲓ, ϯ-ⲡ(=)ⲛⲟⲩⲟⲉⲓ						vb.			to advance, proceed (to: ⲉ; into: ⲉhoun e; on to: ⲉϩⲣⲁⲓ e, ⲉϫⲛ)		
		ϭⲓⲛϯ-ⲡⲟⲩⲟⲉⲓ							n. f. 			act of going, proceeding		
		ⲛⲟⲩⲟⲉⲓ							adv. (?)			same as ouoei		
	ⲟⲩⲟⲉⲓ		ⲟⲩⲟⲓ						interj.			woe! (unto: ⲛⲁ=)		
	ⲟⲩⲟⲉⲓ		ⲟⲩⲟⲓ						n. m.	rare		woe		
	ⲟⲩⲟⲉⲓⲉ				ⲟⲩⲉⲉⲓⲏ, ⲟⲩⲉⲓⲏ				n. m.	There are many variant spellings		farmer, cultivator (of fields and vines)		
		ⲙⲛⲧⲟⲩⲟⲉⲓⲉ							n. f. 			husbandry		
		ⲙⲁ ⲛ ⲟⲩⲟⲉⲓⲉ							n. m.			farm		
		ⲣⲙⲟⲩⲟⲉⲓⲉ	ⲣⲙⲟⲩⲉ, ⲣⲙⲟⲩⲁ						n. m.			farmer, peasant		
		ⲣ-ⲟⲩⲟⲉⲓⲉ							vb.			to farm		
	ⲟⲩⲟⲉⲓⲛ								n. m.			light; dawn; eyesight		
		ⲁⲧⲟⲩⲟⲉⲓⲛ							adj.			without light		
		ⲣ-ⲟⲩⲟⲉⲓⲛ							vb.			to shine, make light (for: ⲉ, ⲛⲁ=; on: ⲉϫⲛ, ϩⲓϫⲛ)		
		ⲣⲉϥⲣ-ⲟⲩⲟⲉⲓⲛ							n. / adj.			one who gives light, illuminator		
		ϫⲓ-ⲟⲩⲟⲉⲓⲛ							vb.			to get, receive light		
	ⲟⲩⲟⲉⲓⲧ								n. m.			pillar		
	ⲟⲩⲟⲉⲓϣ								n. m.			time, occasion		
		ⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧ ⲙⲙⲁⲩ							adv. (?)			at that time		
		ⲙ ⲡⲉⲓⲛⲟϭ ⲛ ⲟⲩⲟⲉⲓϣ							adv. (?)			all this while		
		ⲛ ⲟⲩⲙⲏⲏϣⲉ ⲛ ⲟⲩⲟⲉⲓϣ							adv.			for a long time		
		ⲛ ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ							adv.			always		
		ⲙ ⲡⲓⲟⲩⲟⲉⲓϣ	ⲙ ⲡⲉⲟⲩⲟⲉⲓϣ						adv. (?)			at this/that time		
		ⲛ (ⲟⲩ)ⲟⲩⲟⲉⲓϣ							adv.			at one time (in the past)		
		ϣⲁ ⲟⲩⲟⲉⲓϣ							adv. (?)			later on, at a later time		
		ϩⲙ ⲡⲉⲟⲩⲟⲉⲓϣ							adv. (?)			at the time in question		
		ⲡⲣⲟⲥ (ⲟⲩ)ⲟⲩⲟⲉⲓϣ							adv. (?)			for a time, transitory		
		ⲁⲧⲟⲩⲟⲉⲓϣ							adj.			ill-timed, at a bad time		
		ϩⲛ ⲟⲩⲙⲛⲧⲁⲧⲟⲩⲟⲉⲓϣ							adv.			ill-timed, at a bad time		
		ⲣ-ⲟⲩⲟⲉⲓϣ							vb.			to spend, pass time		
		ϭⲙ-ⲡⲟⲩⲟⲉⲓϣ							vb.			to find time, have leisure		
	ⲟⲩⲟⲓ								part.	Cf. also ouoei		yes		
	ⲟⲩⲟⲙⲧⲉ		ⲟⲩⲟⲟⲙⲧⲉ, ⲟⲩⲟⲙⲡⲧⲉ						n. f.			tower		
	ⲟⲩⲟⲙϥ								n. m.			manger		
	ⲟⲩⲟⲛ								indef. pron.			someone, something, some; in neg. context: no one, nothing		
		ⲛⲟⲩⲟⲛ	ϩⲉⲛⲟⲩⲟⲛ						?			some, some such		
		ⲟⲩⲟⲛ ⲛⲓⲙ							n.			everyone (s. or pl.)		
	ⲟⲩⲟⲟϩⲉ		ⲟⲩⲟϩⲉ						n. f.			scorpion		
	ⲟⲩⲟⲟϭⲉ		ⲟⲩⲟϭⲉ						n. f.			cheek, jaw		
	ⲟⲩⲟⲡ							ⲟⲩⲁⲁⲃ	vb. intr.			to become pure, innocent, holy (of, from: ⲉ, ⲉⲃⲟⲗ ϩⲛ)		
	ⲟⲩⲟⲡ								n. m.			purity		
		ϩⲛ ⲟⲩⲟⲩⲟⲡ							adv.			purely		
		ϫⲓ-ⲟⲩⲟⲡ							vb.			to acquire purity, be hallowed		
		ⲡⲉⲧ ⲟⲩⲁⲁⲃ							n. m.	used with art. or poss. prefixes		who/what is holy, esp. a saint		
		ⲟⲩⲏⲏⲃ							n. m.			priest (Christian or pagan)		
		ⲣ-ⲟⲩⲏⲏⲃ							cpd. vb. 2			to become a priest		
		ⲙⲛⲧⲟⲩⲏⲏⲃ							n. f. 			priesthood		
	ⲟⲩⲟⲥⲣ								n. m.			oar		
		ⲣⲉϥⲥⲉⲕ-ⲟⲩⲟⲥⲣ	ⲣⲉϥⲥⲱⲕ ⲛ ⲛⲟⲩⲟⲥⲣ						n. / adj.			oarsman		
	ⲟⲩⲟⲥⲧⲛ							ⲟⲩⲉⲥⲧⲱⲛ	vb. intr.			to become broad, wide, extensive		
	ⲟⲩⲟⲥⲧⲛ							ⲟⲩⲉⲥⲧⲱⲛ	vb. tr.	rare		to broaden		
	ⲟⲩⲟⲥⲧⲛ								n. m.			breadth		
	ⲟⲩⲟⲧⲟⲩⲉⲧ							ⲟⲩⲉⲧⲟⲩⲱⲧ	vb. intr.			to become green, pallid		
	ⲟⲩⲟⲧⲟⲩⲉⲧ								n. m.			greenness, herbs; pallor		
	ⲟⲩⲟϣⲟⲩⲉϣ						ⲟⲩⲉϣⲟⲩⲱϣ=	ⲟⲩⲉϣⲟⲩⲱϣ	vb. tr.			to beat, strike		
	ⲟⲩⲟϥ								n. m.			lung		
	ⲟⲩⲟϭⲟⲩⲉϭ						ⲟⲩⲉϭⲟⲩⲱϭ=		vb. tr.			to chew, crush (ⲙⲙⲟ=)		
	ⲟⲩⲣⲁⲥ								n. 			crutch		
	ⲟⲩⲣⲟⲧ							ⲣⲟⲟⲩⲧ	vb. intr.			to become eager, ready, glad		
		ⲣⲟⲟⲩⲧ							Q			to be fresh, flourishing		
	ⲟⲩⲣⲟⲧ								n. m.			zeal, enthusiasm, eagerness, gladness		
		ϩⲛ ⲟⲩⲟⲩⲣⲟⲧ							adv.			gladly, eagerly		
		ϯ-ⲟⲩⲣⲟⲧ							vb.			to gladden; to incite, arouse (someone: ⲛⲁ=)		
	ⲟⲩⲣⲱ								n. m.			bean		
	ⲟⲩⲣϣⲉ		ⲟⲩⲉⲣϣⲉ						n. f.			watch, watch-tower		
		ⲁⲛⲟⲩⲣϣⲉ							n. m.			guard		
	ⲟⲩⲥ								n. m.			bald person		
		ⲙⲛⲧⲟⲩⲥ							n. f. 			baldness		
	ⲟⲩⲧⲁϩ								n. m.	rare in Sah.		fruit, produce		
	ⲟⲩⲧⲉ		(ⲟⲩⲧⲱ=)						prep.	often in proleptic construction. It is often followed by tmyte in same constructions		between, among		
		ⲟⲩⲧⲉ ⲝ ⲙⲛ ⲏ	ⲟⲩⲧⲉ ⲝ ⲙⲛ ⲟⲩⲧⲉ ⲏ, ⲟⲩⲧⲱ=ⲝ ⲟⲩⲧⲱ=ⲏ						prep.			between X and Y		
		ⲉⲃⲟⲗ ⲟⲩⲧⲉ							prep.			from among, from between		
	ⲟⲩⲱ								n. m.			news, report		
		ⲛ-ⲡⲟⲩⲱ ⲛⲁ=							vb.			to bring news to		
		ⲣ-ⲟⲩⲱ							vb.			to respond, reply, say (to: ⲛⲁ=, harⲛ)		
		ϯ-ⲟⲩⲱ							vb.			to give news		
		ϥⲓ-ⲟⲩⲱ	ϥⲁⲓ-ⲟⲩⲱ						n. m.			bearer of news, messenger		
		ϩⲉ-ⲡⲟⲩⲱ	ϩⲉ-ⲡ(=)ⲟⲩⲱ						vb.			to inquire (about)		
		ϫⲓ-ⲟⲩⲱ	ϫⲓ-ⲡⲟⲩⲱ						vb.			to announce (to: ⲉ, ⲛⲁ=, sa)		
		ⲣⲉϥϫⲓ-ⲟⲩⲱ							n. / adj.			informer		
		ϭⲓⲛϫⲓ-ⲟⲩⲱ							n. f. 			Annunciation		
		ϭⲙ-ⲡⲟⲩⲱ	ϭⲙ-ⲡ(=)ⲟⲩⲱ						vb.			to inquire (about)		
		ϩⲗ-ⲟⲩⲱ							n. 			dispute, argument		
	ⲟⲩⲱ								vb. intr.			to cease, stop, come to an end; to cease (from: ⲛⲧⲛ, ϩⲛ, ⲉⲃⲟⲗ ⲛ); + Circum.: to stop doing, finish doing; to have already done; + e/ⲛ + Inf. idem, but rarer		
	ⲟⲩⲱ								vb. tr.			to stop, bring to an end (ⲙⲙⲟ=)		
		ⲁⲧⲟⲩⲱ							adj.			unceasing, unending		
