Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲁⲩ	ⲁⲩⲉ, ⲁⲩⲉⲓⲥ, ⲁⲩⲉⲓ						imptv. Vb.	(1) All forms occur prenominally; with pron. Suff.: aueic- (2) (with Conjunctive).	(1) bring here, give! (2) come! Come, let's …!
ⲡ.ⲁⲩⲁⲛ	ⲁⲩⲁⲁⲛ, ⲁⲩⲉⲓⲛ						n. m.		color, appearance, complexion
ⲥⲉⲕ-ⲁⲩⲁⲛ									to tend toward (a certain color)
ⲁⲩⲁⲛ ⲁⲩⲁⲛ									(of or in) a variety of colors
ⲡ.ⲁⲩⲉⲓⲛ	ⲁⲩⲁⲛ						n. m.		(ship's) cargo
ⲡ.ⲁⲩⲏⲧ							n. m.		company of people; monastic congregation
ⲁⲩⲱ							conj.	for uses see Gr. In.	and
ⲡ.ⲁϣ							n. m.		furnace, oven
ⲁϣ							interrog. Pron.	See §§ 14.2, 16.1 for usage	what?
ⲁϣⲁⲓ						ⲟϣ	vb. Intr.	Q is very frequent.	to be(come) many, numerous, to multiply
ⲁϣⲁⲓ							n.m.		amount
ⲣⲉϥⲁϣⲁⲓ									one who multiplies
ⲧ.ⲁϣⲏ							n. f.		multitude
ⲡ.ⲁϥ	ⲁⲁϥ, ⲁⲃ						n. m.		a fly
ⲁϥ ⲛ ⲉⲃⲓⲱ									bee
ⲁϥ ⲛ ⲟⲩϩⲟⲣ									dog-fly
ⲡ.ⲁϥ	ⲁⲁϥ, ⲁⲃ		ⲁϥⲟⲩⲓ, ⲁⲃⲟⲩⲓ				n. m.		flesh (human or animal), piece of flesh, meat
ⲥⲁ ⲛ ⲁϥ									meat-seller
ϣⲁⲧ-ⲁϥ									butcher
ⲟⲩⲉⲙ-ⲁϥ									to eat meat
ϣⲉⲡ-ⲁϥ									to buy meat
ⲡ.ⲁϩⲉ							n. m.		lifetime, extent of lifetime
ⲣ-ⲁϩⲉ									to pass one's life
ϣⲁϥ-ⲁϩⲉ									short-lived
ⲣ-ϣⲁⲣ-ⲁϩⲉ						ⲟ ⲛ ϣⲁⲣ-ⲁϩⲉ			to be short-lived
ⲙⲛⲧϣⲁⲣ-ⲁϩⲉ									a short life
ⲁϩⲉ							vb. Intr.		to be in need (of: na-)
ⲡ.ⲁϩⲟ			ⲁϩⲱⲱⲣ				n. m.		treasure, treasure house, storehouse
ⲁϩⲟⲙ							n.		only in as-ahom
ⲁϣ-ⲁϩⲟⲙ									to sigh, groan (at: ⲉ, ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ)
ⲡ.ⲁϩⲟⲙ							n. m.		groan, yawn, roar
ⲡ.ⲁϩⲣ	ⲁϩⲣⲉ						n. m.		marsh herbage, sedge
ⲁϩⲣⲟ-				ⲁϩⲣⲟ-			interrog. Adv. Requiring anticipatory suff. Referring to subject of clause		(1) with foll. Verb: why? As in ahrwtⲛ tetⲛrime - why do you weep? (2) with suff. Alone or with foll. Noun: what about …? What's the matter with …? (3) with ⲙⲛ: what has … to do with …?
