Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲡ.ⲑⲙⲕⲟ				ⲑⲙⲕⲉ-	ⲑⲙⲕⲟ=		n. m.		affliction, ill-treatment
ⲑⲙⲟ							vb. tr. 		to warm (ⲙⲙⲟ/)
ⲑⲙⲥⲟ				ⲑⲙⲥⲉ-	ⲑⲙⲥⲟ=	ⲑⲙⲥⲟⲉⲓⲧ	vb. tr. 		to seat (ⲙⲙⲟ/)
ⲑⲛⲟ	(ⲑⲛⲟ)			ⲧϩⲛⲉ-	ⲑⲛⲟ=	ⲑⲛⲏⲩ	vb. tr. 		(+/- ⲉϩⲟⲩⲛ) to cause to approach (ⲙⲙⲟ/); to hire
ⲑⲛⲟ	(ⲑⲛⲱ=, ⲑⲉⲛⲟ=, ⲑⲁⲛⲟ=)				ⲑⲛⲟ=	ⲑⲛⲏⲩ (ⲑⲉⲛⲏⲩ)	vb. tr. 		to pound, crush (ⲙⲙⲟ/)
ⲧϩⲟ	(ⲑⲟ)						vb. intr.		to become bad
ⲡ.ⲧϩⲟ	(ⲑⲟ)						n. m.		badness
ⲑⲟⲟⲩⲧ	ⲑⲱⲟⲩⲧ, ⲑⲱⲑ						n.		name of 1st Coptic month
ⲧϩⲡⲟ	(ⲑⲡⲟ)				ⲧϩⲡⲟ=		vb. tr. 		to lead, accompany (ⲙⲙⲟ/; ⲉⲃⲟⲗ: forth)
ⲧϩⲣϣⲟ	(ⲑⲣϣⲟ)			ⲑⲣϣⲉ-	ⲑⲣϣⲟ=		vb. tr. 		to terrify, oppress
ⲧϭⲁⲉⲓⲟ	(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		vb. tr. 		to disgrace, condemn (ⲙⲙⲟ/)
ⲧϭⲁⲉⲓⲟ	(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		vb. intr.		to be disgraced, condemned (to: ⲉ)
ⲡ.ⲧϭⲁⲉⲓⲟ	(ⲑⲣϣⲟ)			(ⲧ)ϭⲁⲉⲓⲉ-	(ⲧ)ϭⲁⲉⲓⲟ=		n. m.		disgrace, condemnation
ϭⲁⲉⲓⲉ	ϭⲁⲉⲓⲏ						adj.		ugly
ϭⲁⲉⲓⲉ	ϭⲁⲉⲓⲏ						n.		ugly person
ⲙⲛⲧϭⲁⲉⲓⲉ									disgrace, ugliness
ⲟ ⲛ ϭⲁⲉⲓⲉ									to be disgraceful
ⲡ.ϭⲁ							n. m.		ugliness
ⲟⲩ							interrog. pron.		what? less commonly: who?
ⲟⲩ ⲉⲣⲟ_									what does it profit (me, you, etc.)?
ⲟⲩ ⲛ									what of (partitive)?
ⲟⲩⲟⲩ									what? (with indef. art.)
ⲣ-ⲟⲩ									to do what? to be like what?
ⲉⲧⲃⲉ ⲟⲩ									why?
ⲉⲧⲃⲉ ⲟⲩ ⲛ ϩⲱⲃ									why?
ⲟⲩ ⲙⲛ ⲟⲩ									this and that, such and such
ⲟⲩ							indef. art. sing.		See 2.1.
ⲟⲩⲁ		ⲟⲩⲉⲓ					indef. pron.		one, someone
ⲟⲩⲁ		ⲟⲩⲉⲓ					number	see 15.3.	one
ⲙⲛⲧⲟⲩⲉ								see 24.3.	eleven
ⲟⲩⲁ ⲟⲩⲁ									one by one
ⲟⲩⲁ... ⲟⲩⲁ...									one... the other...
ϩⲉⲛⲟⲩⲁ ⲟⲩⲁ							pl.		a few
ⲉ ⲡⲟⲩⲁ							distributive		one each
ⲡⲟⲩⲁ ⲡⲟⲩⲁ									each one
ⲕⲉⲟⲩⲁ									another one
ⲣ-ⲕⲉⲟⲩⲁ									to become another, be altered
ⲙⲛⲧⲟⲩⲁ									unity, unison
ⲣ-ⲟⲩⲁ									to become one; to unite with (ⲙⲛ)
ⲡ.ⲟⲩⲁ							n. m.		blasphemy
ⲟⲩⲁ							adj.		blasphemous
ϫⲓ-|ϫⲉ-ⲟⲩⲁ									to blaspheme (against: ⲉ, ⲉϩⲟⲩⲛ ⲉ)
ⲣⲉϥϫⲓ-ⲟⲩⲁ									blasphemer
ⲙⲛⲧⲣⲉϥϫⲓ-ⲟⲩⲁ									blasphemy
ϫⲁⲧ-ⲟⲩⲁ									blasphemer
ⲟⲩⲁⲁ_					ⲟⲩⲁⲁ=		intens. pron.	used appositionally, as in =ntok ouaak - you yourself, you alone	-self, alone, only
ⲧⲉⲥϩⲓⲙⲉ ⲟⲩⲁⲁⲥ									the woman herself
ⲛ ⲟⲩⲁⲁ_									-self, alone, only
ⲣ-ⲟⲩⲁⲁ_									to become alone
ⲡ.ⲟⲩⲁϩ							n. m.		pole, stave
ⲟⲩⲁϩⲃⲉϥ	ⲟⲩⲁϩⲙⲉϥ, ⲟⲩⲟϩⲃⲉϥ						vb. intr.		to bark, growl (of dog)
ⲟⲩⲁϩⲉ							n. 		oasis
ⲟⲩⲁϩⲓϩⲏⲧ	ⲟⲩⲁϩⲉⲓⲏⲧ						adj. 		cruel
ⲙⲛⲧⲟⲩⲁϩⲓϩⲏⲧ									cruelty
ⲣ-ⲟⲩⲁϩⲓϩⲏⲧ									to become cruel
ⲧ.ⲟⲩⲁϩⲙⲉ							n. f.		storey (of a house or structure)
ⲟⲩⲃⲁϣ						ⲟⲩⲟⲃϣ	vb. intr.		to become white
ⲡ.ⲟⲩⲃⲁϣ							n. m.		whiteness
ⲟⲩⲱⲃϣ							adj.	(aft. n., with or without =n)	white
ⲣ-ⲟⲩⲱⲃϣ									to become white
ⲟⲩⲃⲉ	(ⲟⲩⲃⲏ=)						prep.		against; toward, opposite
ⲟⲩⲉ						ⲟⲩⲏⲩ	vb. intr.		to become distant, far, far-reaching (+/- ⲉⲃⲟⲗ)
ⲟⲩⲉ ⲉ								idem with prep. =mmo/> ebol =mmo/> cabol =mmo/> ebol h=n	to be distant from
ⲡ.ⲟⲩⲉ							n. m.		distance
ⲟⲩⲉ ⲉⲡⲉⲥⲏⲧ									distance downward
ⲉ ⲡⲟⲩⲉ									to a distance (from: ⲙⲙⲟ/)
ⲙ ⲡⲟⲩⲉ									at a distance
ϩⲓ_ϩⲙ ⲡⲟⲩⲉ									at a distance
ⲟⲩⲉ									number one in higher numbers (11, 21, etc.)
ⲡ.ⲟⲩⲉⲉⲓⲉⲛⲓⲛ							n. m.		Greek
ⲧ.ⲙⲛⲧⲟⲩⲉⲉⲓⲉⲛⲓⲛ							n. f.		Greek (language)
ⲟⲩⲉⲓⲛⲉ							vb. intr.	(subj. usu. period of time)	to pass by 
ⲁⲧⲟⲩⲉⲓⲛⲉ									not passing, permanent
ⲟⲩⲉⲓⲥⲉ					ⲟⲩⲁⲥⲧ=		vb. tr.		to saw (ⲙⲙⲟ/)
ⲣⲉϥⲟⲩⲉⲓⲥⲉ									sawyer
ⲟⲩⲉⲓⲧⲉ	(ⲟⲩⲉⲉⲧⲉ)						vb. intr.		to waste away, dry up
ⲟⲩⲉⲓⲧⲉ	(ⲟⲩⲉⲉⲧⲉ)						vb. tr.		to dry up, make waste away (ⲙⲙⲟ/), +/- ⲉⲃⲟⲗ
ⲟⲩⲉⲗⲟⲩⲉⲗⲉ							vb. intr.		to howl
ⲧ.ⲟⲩⲉⲣⲏⲧⲉ	ⲡⲟⲩⲣⲏⲏⲧⲉ						n. f.		foot, leg (of person, animal, object)
ⲟⲩⲉⲣⲧ	ⲟⲩⲣⲧ, ⲟⲩⲁⲣⲧ						n. f. m.		rose
ⲟⲩⲉϩ-ⲣⲁⲥⲟⲩ				ⲟⲩⲉϩ-ⲣⲁⲥⲟⲩ					interpreter of dreams
ⲧ.ⲟⲩⲉϭⲣⲟ							n. f.		doorpost
ⲟⲩⲏⲣ		ⲟⲩⲏⲣⲉ					interrog. adj.		how much? how many? how great?
ⲟⲩⲏⲣ ⲡⲉ ⲛ?								(also exclam.)	How great is N?
ⲣ-ⲟⲩⲏⲣ									to become how much/many? to amount to how much?
ⲛ ⲟⲩⲏⲣ									by how much? to what extent?
ⲁ ⲟⲩⲏⲣ									how long? how much more so (in syllogistic statement)
ⲥⲟⲩ-ⲟⲩⲏⲣ									such and such a day
ⲙⲉϩⲟⲩⲏⲣ									the how-many-eth?
ⲧ.ⲟⲩⲏⲧⲉ							n. f.		calamity
ⲧ.ⲟⲩⲗⲗⲉ	ⲟⲩⲉⲗⲗⲉ						n. f.		melody, music
ⲟⲩⲗⲡⲉ							n.		depression in skin (left by disease or sim.)
ⲟⲩⲙⲟⲧ						ⲟⲩⲟⲙⲧ (ⲟⲩⲟⲙⲛⲧ)	vb. intr.		to become thick, swollen
ⲡ.ⲟⲩⲙⲟⲧ							n. m.		thickness, swelling
ⲟⲩⲛ-				ⲟⲩⲛ-			existential predicate	See Gr. In.	there is/are
ⲧ.ⲟⲩⲛⲁⲙ							n. f.		right hand, the right side
ϭⲓϫ ⲛ ⲟⲩⲛⲁⲙ									the right hand
ⲉ ⲟⲩⲛⲁⲙ									to the right
ⲛⲥⲁ|ϩⲓ ⲟⲩⲛⲁⲙ ⲙⲙⲟ_									on the right of
ⲧⲏⲩ ⲛ ⲟⲩⲛⲁⲙ									favorable wind
ⲧ.ⲟⲩⲛⲟⲩ			ⲟⲩⲛⲟⲟⲩⲉ				n. f.		hour
ⲛ ⲧⲉⲩⲛⲟⲩ							adv.		immediately, thereupon, forthwith
ϩⲛ ⲧⲉⲩⲛⲟⲩ									immediately, thereupon, forthwith
ⲡⲣⲟⲥ ⲧⲉⲩⲛⲟⲩ									for a while, for a moment, at present
ⲣⲉϥⲕⲁ-ⲟⲩⲛⲟⲩ									astrologer
ⲧⲉⲛⲟⲩ							adv.		now
ⲧⲉⲛⲟⲩ ϭⲉ									so now, now therefore
ⲉ|ⲛ ⲧⲉⲛⲟⲩ									now
ϣⲁ ⲧⲉⲛⲟⲩ									until now
ϫⲓⲛ ⲧⲉⲛⲟⲩ									from now
ⲟⲩⲛⲟϥ							vb. intr.	also used reflex. with =mmo/	to rejoice (at: ⲉϫⲛ, hijⲛ)
ⲡ.ⲟⲩⲛⲟϥ							n. m.		joy, gladness
ⲡ.ⲟⲩⲛⲧ	ⲟⲩⲟⲛⲧ						n. m.		hollow place, esp. hold of a ship
ⲟⲩⲛⲧⲉ-				ⲟⲩⲛⲧⲉ-	ⲟⲩⲛⲧⲁ=		pred. of possession:	see 22.1.	to have
ⲡ.ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲓ						n. m.		rush, swift movement
ϯ-ⲟⲩⲟⲉⲓ									to go about seeking, search (for: ⲉ, ⲉϩⲟⲩⲛ ⲉ, ⲛⲥⲁ)
ϯ-ⲡⲟⲩⲟⲉⲓ	ϯ ⲙ ⲡⲟⲩⲟⲉⲓ, ϯ-ⲡ(=)ⲟⲩⲟⲉⲓ, ϯ-ⲡ(=)ⲛⲟⲩⲟⲉⲓ								to advance, proceed (to: ⲉ; into: ⲉhoun e; on to: ⲉhrai e, ⲉϫⲛ)
ϭⲓⲛϯ-ⲡⲟⲩⲟⲉⲓ									act of going, proceeding
ⲛⲟⲩⲟⲉⲓ									same as ouoei
ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲓ						interj.		woe! (unto: ⲛⲁ/)
ⲡ.ⲟⲩⲟⲉⲓ	ⲟⲩⲟⲓ						n. m.	rare	woe
ⲡ.ⲟⲩⲟⲉⲓⲉ			ⲟⲩⲉⲉⲓⲏ, ⲟⲩⲉⲓⲏ				n. m.	There are many variant spellings	farmer, cultivator (of fields and vines)
ⲙⲛⲧⲟⲩⲟⲉⲓⲉ									husbandry
ⲙⲁ ⲛ ⲟⲩⲟⲉⲓⲉ									farm
ⲣⲙⲟⲩⲟⲉⲓⲉ	ⲣⲙⲟⲩⲉ, ⲣⲙⲟⲩⲁ								farmer, peasant
ⲣ-ⲟⲩⲟⲉⲓⲉ									to farm
ⲡ.ⲟⲩⲟⲉⲓⲛ							n. m.		light; dawn; eyesight
ⲁⲧⲟⲩⲟⲉⲓⲛ									without light
ⲣ-ⲟⲩⲟⲉⲓⲛ									to shine, make light (for: ⲉ, ⲛⲁ/; on: ⲉϫⲛ, hijⲛ)
ⲣⲉϥⲣ-ⲟⲩⲟⲉⲓⲛ									one who gives light, illuminator
ϫⲓ-ⲟⲩⲟⲉⲓⲛ									to get, receive light
ⲡ.ⲟⲩⲟⲉⲓⲧ							n. m.		pillar
ⲡ.ⲟⲩⲟⲉⲓϣ							n. m.		time, occasion
ⲡⲉⲟⲩⲟⲉⲓϣ ⲉⲧ ⲙⲙⲁⲩ									at that time
ⲙ ⲡⲉⲓⲛⲟϭ ⲛ ⲟⲩⲟⲉⲓϣ									all this while
ⲛ ⲟⲩⲙⲏⲏϣⲉ ⲛ ⲟⲩⲟⲉⲓϣ									for a long time
ⲛ ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ									always
ⲙ ⲡⲓⲟⲩⲟⲉⲓϣ	ⲙ ⲡⲉⲟⲩⲟⲉⲓϣ								at this/that time
ⲛ (ⲟⲩ)ⲟⲩⲟⲉⲓϣ									at one time (in the past)
ϣⲁ ⲟⲩⲟⲉⲓϣ									later on, at a later time
ϩⲙ ⲡⲉⲟⲩⲟⲉⲓϣ									at the time in question
ⲡⲣⲟⲥ (ⲟⲩ)ⲟⲩⲟⲉⲓϣ									for a time, transitory
ⲁⲧⲟⲩⲟⲉⲓϣ									ill-timed, at a bad time
ϩⲛ ⲟⲩⲙⲛⲧⲁⲧⲟⲩⲟⲉⲓϣ							adv.		ill-timed, at a bad time
ⲣ-ⲟⲩⲟⲉⲓϣ									to spend, pass time
ϭⲙ-ⲡⲟⲩⲟⲉⲓϣ									to find time, have leisure
ⲟⲩⲟⲓ							particle of assent	Cf. also ouoei	yes
ⲧ.ⲟⲩⲟⲙⲧⲉ	ⲟⲩⲟⲟⲙⲧⲉ, ⲟⲩⲟⲙⲡⲧⲉ						n. f.		tower
ⲡ.ⲟⲩⲟⲙϥ							n. m.		manger
ⲟⲩⲟⲛ							indef. pron.		someone, something, some; in neg. context: no one, nothing
ⲛⲟⲩⲟⲛ	ϩⲉⲛⲟⲩⲟⲛ						pl.		some, some such
ⲟⲩⲟⲛ ⲛⲓⲙ									everyone (s. or pl.)
ⲧ.ⲟⲩⲟⲟϩⲉ	ⲟⲩⲟϩⲉ						n. f.		scorpion
ⲧ.ⲟⲩⲟⲟϭⲉ	ⲟⲩⲟϭⲉ						n. f.		cheek, jaw
ⲟⲩⲟⲡ						ⲟⲩⲁⲁⲃ	vb. intr.		to become pure, innocent, holy (of, from: ⲉ, ⲉⲃⲟⲗ ϩⲛ)
ⲡ.ⲟⲩⲟⲡ							n. m.		purity
ϩⲛ ⲟⲩⲟⲩⲟⲡ									purely
ϫⲓ-ⲟⲩⲟⲡ									to acquire purity, be hallowed
ⲡⲉⲧ ⲟⲩⲁⲁⲃ								used with art. or poss. prefixes	who/what is holy, esp. a saint
ⲡ.ⲟⲩⲏⲏⲃ							n. m.		priest (Christian or pagan)
ⲣ-ⲟⲩⲏⲏⲃ									to become a priest
ⲙⲛⲧⲟⲩⲏⲏⲃ									priesthood
ⲡ.ⲟⲩⲟⲥⲣ							n. m.		oar
ⲣⲉϥⲥⲉⲕ-ⲟⲩⲟⲥⲣ	ⲣⲉϥⲥⲱⲕ ⲛ ⲛⲟⲩⲟⲥⲣ								oarsman
ⲟⲩⲟⲥⲧⲛ						ⲟⲩⲉⲥⲧⲱⲛ	vb. intr.		to become broad, wide, extensive
ⲟⲩⲟⲥⲧⲛ						ⲟⲩⲉⲥⲧⲱⲛ	vb. tr.	rare	to broaden
ⲡ.ⲟⲩⲟⲥⲧⲛ							n. m.		breadth
ⲟⲩⲟⲧⲟⲩⲉⲧ						ⲟⲩⲉⲧⲟⲩⲱⲧ	vb. intr.		to become green, pallid
ⲡ.ⲟⲩⲟⲧⲟⲩⲉⲧ							n. m.		greenness, herbs; pallor
ⲟⲩⲟϣⲟⲩⲉϣ					ⲟⲩⲉϣⲟⲩⲱϣ=	ⲟⲩⲉϣⲟⲩⲱϣ	vb. tr.		to beat, strike
ⲡ.ⲟⲩⲟϥ							n. m.		lung
ⲟⲩⲟϭⲟⲩⲉϭ					ⲟⲩⲉϭⲟⲩⲱϭ=		vb. tr.		to chew, crush (ⲙⲙⲟ/)
ⲟⲩⲣⲁⲥ							n. 		crutch
ⲟⲩⲣⲟⲧ						ⲣⲟⲟⲩⲧ	vb. intr.		to become eager, ready, glad
ⲣⲟⲟⲩⲧ							Q		to be fresh, flourishing
ⲡ.ⲟⲩⲣⲟⲧ							n. m.		zeal, enthusiasm, eagerness, gladness
ϩⲛ ⲟⲩⲟⲩⲣⲟⲧ									gladly, eagerly
ϯ-ⲟⲩⲣⲟⲧ									to gladden; to incite, arouse (someone: ⲛⲁ/)
ⲡ.ⲟⲩⲣⲱ							n. m.		bean
ⲧ.ⲟⲩⲣϣⲉ	ⲟⲩⲉⲣϣⲉ						n. f.		watch, watch-tower
ⲡ.ⲁⲛⲟⲩⲣϣⲉ							n. m.		guard
ⲡ.ⲟⲩⲥ							n. m.		bald person
ⲙⲛⲧⲟⲩⲥ									baldness
ⲡ.ⲟⲩⲧⲁϩ							n. m.	rare in Sah.	fruit, produce
ⲟⲩⲧⲉ	(ⲟⲩⲧⲱ=)						prep.	often in proleptic construction. It is often followed by tmyte in same constructions	between, among
ⲟⲩⲧⲉ ⲝ ⲙⲛ ⲏ	ⲟⲩⲧⲉ ⲝ ⲙⲛ ⲟⲩⲧⲉ ⲏ, ⲟⲩⲧⲱ=ⲝ ⲟⲩⲧⲱ=ⲏ								between X and Y
ⲉⲃⲟⲗ ⲟⲩⲧⲉ									from among, from between
ⲡ.ⲟⲩⲱ							n. m.		news, report
ⲛ-ⲡⲟⲩⲱ ⲛⲁ_									to bring news to
ⲣ-ⲟⲩⲱ									to respond, reply, say (to: ⲛⲁ/, harⲛ)
ϯ-ⲟⲩⲱ									to give news
ϥⲓ-ⲟⲩⲱ	ϥⲁⲓ-ⲟⲩⲱ								bearer of news, messenger
ϩⲉ-ⲡⲟⲩⲱ	ϩⲉ-ⲡ(=)ⲟⲩⲱ								to inquire (about)
ϫⲓ-ⲟⲩⲱ	ϫⲓ-ⲡⲟⲩⲱ								to announce (to: ⲉ, ⲛⲁ/, sa)
ⲣⲉϥϫⲓ-ⲟⲩⲱ									informer
ϭⲓⲛϫⲓ-ⲟⲩⲱ									Annunciation
ϭⲙ-ⲡⲟⲩⲱ	ϭⲙ-ⲡ(=)ⲟⲩⲱ								to inquire (about)
ϩⲗ-ⲟⲩⲱ							n. 		dispute, argument
ⲟⲩⲱ							vb. intr.		to cease, stop, come to an end; to cease (from: ⲛⲧⲛ, ϩⲛ, ⲉⲃⲟⲗ ⲛ); + Circum.: to stop doing, finish doing; to have already done; + e/ⲛ + Inf. idem, but rarer
ⲟⲩⲱ							vb. tr.		to stop, bring to an end (ⲙⲙⲟ/)
ⲁⲧⲟⲩⲱ									unceasing, unending
ϯ-ⲟⲩⲱ									to cease; to make cease (ⲙⲙⲟ/); to release (from: ϩⲛ)
ⲁⲧϯ-ⲟⲩⲱ									unending
ⲟⲩⲱ							n.		
ϯ-ⲟⲩⲱ									(+/- ⲉⲃⲟⲗ) to bloom, sprout; to bring forth, produce (ⲙⲙⲟ/)
ⲡ.ϯ-ⲟⲩⲱ							n. m.		sprout, blossom
ϫⲓ-ⲟⲩⲱ									to conceive (a child: ⲙⲙⲟ/)
ⲡ.ϫⲓ-ⲟⲩⲱ							n. m.		conception
ⲟⲩⲱⲗⲥ				ⲟⲩⲉⲗⲥ-	ⲟⲩⲟⲗⲥ=	ⲟⲩⲟⲗⲥ	vb. tr.		to put to shame, humiliate, defeat (ⲙⲙⲟ/)
ⲟⲩⲱⲗⲥ				ⲟⲩⲉⲗⲥ-	ⲟⲩⲟⲗⲥ=	ⲟⲩⲟⲗⲥ	vb. intr.		to bend down (in shame, weakness, defeat); to lean (on: ⲉϫⲛ, hijⲛ, ⲉϩⲟⲩⲛ ⲉ)
ⲡ.ⲟⲩⲱⲗⲥ				ⲟⲩⲉⲗⲥ-	ⲟⲩⲟⲗⲥ=		n. m.		humiliation
ⲟⲩⲱⲗⲥ ⲛ ϩⲏⲧ									to be discouraged
ⲟⲩⲱⲙ	(ⲟⲩⲙ-)			ⲟⲩⲉⲙ-	ⲟⲩⲟⲙ=		vb. tr.		to eat, consume (ⲙⲙⲟ/); also fig.: to submit to (e.g. punishment); (subj. the heart) to make repentant
ⲟⲩⲱⲙ ⲛⲥⲁ									to eat away at, gnaw at
ⲟⲩⲱⲙ (ⲉⲃⲟⲗ) ϩⲛ									to eat away at, consume; to eat some of
ⲡ.ⲟⲩⲱⲙ							n. m.		food, eating
ⲟⲩⲁⲙ-								in cpds.	eater of -
ⲟⲩⲁⲙ-ⲣⲱⲙⲉ									man-eating
ⲁⲧⲟⲩⲱⲙ									not eating, without food
ⲙⲛⲧⲁⲧⲟⲩⲱⲙ									being without food
ⲙⲁⲓ-ⲟⲩⲱⲙ									fond of eating
ⲙⲛⲧⲙⲁⲓ-ⲟⲩⲱⲙ									fondness for eating
ⲙⲁ ⲛ ⲟⲩⲱⲙ									eating place, refectory
ⲣⲉϥⲟⲩⲱⲙ									glutton
ⲙⲛⲧⲣⲉϥⲟⲩⲱⲙ									gluttony
ϭⲓⲛⲟⲩⲱⲙ							n. m. f.		food
ⲡ.ⲟⲩⲱⲛ							n. m.		part, portion, piece
ⲟⲩⲛ-								30.6.	in fractions
ⲡ.ⲟⲩⲱⲛϣ							n. m.		wolf
ⲟⲩⲱⲛϩ				ⲟⲩⲉⲛϩ-	ⲟⲩⲟⲛϩ=	ⲟⲩⲟⲛϩ	vb. intr. and reflex.		(+/- ⲉⲃⲟⲗ) to be revealed, become manifest, appear
ⲟⲩⲱⲛϩ				ⲟⲩⲉⲛϩ-	ⲟⲩⲟⲛϩ=	ⲟⲩⲟⲛϩ	vb. tr.		to reveal, make manifest, make clear, declare (ⲙⲙⲟ/; to: ⲉ, ⲉϩⲟⲩⲛ ⲉ, ⲛⲁ/)
ⲡ.ⲟⲩⲱⲛϩ				ⲟⲩⲉⲛϩ-	ⲟⲩⲟⲛϩ=		n. m.		(+/- ⲉⲃⲟⲗ) manifesting, showing, declaration
ϩⲛ ⲟⲩⲟⲩⲱⲛϩ ⲉⲃⲟⲗ									openly, publicly
ⲁⲧⲟⲩⲱⲛϩ ⲉⲃⲟⲗ									invisible, not manifest
ⲣ-ⲁⲧⲟⲩⲱⲛϩ ⲉⲃⲟⲗ									to become invisible
ⲟⲩⲱⲣⲡ					ⲟⲩⲟⲣⲡ=		vb. tr.	(Boh., rare in Sah.)	to send
ⲟⲩⲱⲣϩ				ⲟⲩⲉⲣϩ-	ⲟⲩⲟⲣϩ=	ⲟⲩⲟⲣϩ	vb. tr.		to set free, renounce a claim on
ⲟⲩⲱⲣϩ				ⲟⲩⲉⲣϩ-	ⲟⲩⲟⲣϩ=	ⲟⲩⲟⲣϩ	vb. intr.		to be free, not responsible
ⲡ.ⲟⲩⲉⲣϩ							n. m.		free space
ⲟⲩⲱⲥϥ				ⲟⲩⲉⲥϩ-	ⲟⲩⲟⲥϥ=	ⲟⲩⲟⲥϥ	vb. tr.		to leave barren, idle; to keep idle; to neglect
ⲟⲩⲱⲥϥ				ⲟⲩⲉⲥϩ-	ⲟⲩⲟⲥϥ=	ⲟⲩⲟⲥϥ	vb. intr.		to be idle, come to a halt (for: ⲉ); to be brought to naught
ⲡ.ⲟⲩⲱⲥϥ				ⲟⲩⲉⲥϩ-	ⲟⲩⲟⲥϥ=		n. m.		idleness, ceasing, cessation
ⲧ.ⲟⲩⲁⲥϥⲉ							n. f.		idleness
ⲟⲩⲱⲧ				ⲟⲩⲉⲧ-	ⲟⲩⲉⲧ=		vb. tr.		to make soft, weak
ⲟⲩⲱⲧ				ⲟⲩⲉⲧ-	ⲟⲩⲉⲧ=		vb. intr.		to become green, fresh, raw, soft, weak
ⲡ.ⲟⲩⲟⲧⲉ	ⲟⲩⲟⲟⲧⲉ						n. m.		greens, herbs
ⲙⲁ ⲛ ⲟⲩⲟⲧⲉ									garden
ⲟⲩⲱⲧ		ⲟⲩⲱⲧⲉ (ⲣⲁⲣⲉ)					adj.	usu. aft. n. with =n	single, sole, one and the same
ⲟⲩⲁ ⲛ ⲟⲩⲱⲧ									each one, a single one
ⲙⲛⲧⲟⲩⲁ ⲛ ⲟⲩⲱⲧ									singleness, unity
ⲣ-ⲟⲩⲁ ⲛ ⲟⲩⲱⲧ									to make one, amount to one and the same thing (with: ⲙⲛ)
ⲟⲩⲱⲧⲃ				ⲟⲩⲉⲧⲃ-	ⲟⲩⲟⲧⲃ=	ⲟⲩⲟⲧⲃ	vb. tr.		to pass through (ⲙⲙⲟ/); to transform, translate, exchange; to remove, make/let pass
ⲟⲩⲱⲧⲃ				ⲟⲩⲉⲧⲃ-	ⲟⲩⲟⲧⲃ=	ⲟⲩⲟⲧⲃ	vb. intr. 		to change, be altered (usu. of place or situation)
ⲟⲩⲱⲧⲃ ⲉ							Q		to change into, to surpass
ⲟⲩⲱⲧⲃ ⲉⲃⲟⲗ									to cross over, spread over
ⲟⲩⲱⲧⲃ ⲉϩⲟⲩⲛ									to pass in (into: ⲉ)
ⲟⲩⲱⲧⲃ ⲉϩⲣⲁⲓ									to pass beyond
ⲟⲩⲱⲧⲃ				ⲟⲩⲉⲧⲃ-	ⲟⲩⲟⲧⲃ=	ⲟⲩⲟⲧⲃ	vb.		to pour (into: ⲉ; upon: ⲉϫⲛ; down on: ⲉpecyt hi)
ⲟⲩⲱⲧⲃ				ⲟⲩⲉⲧⲃ-	ⲟⲩⲟⲧⲃ=	ⲟⲩⲟⲧⲃ	vb. 		to pierce
ⲧ.ⲟⲩⲁⲧⲃⲉ							n. f.		hole
ⲟⲩⲱⲧⲛ					ⲟⲩⲟⲧⲛ=		vb. tr.		to pour
ⲡ.ⲟⲩⲱⲧⲛ					ⲟⲩⲟⲧⲛ=		n. m.		libation
ⲟⲩⲱⲧϩ				ⲟⲩⲉⲧϩ-	ⲟⲩⲟⲧϩ=		vb. tr.		to cast (metal), to pour (water), to draw (water)
ⲡ.ⲟⲩⲱⲧϩ				ⲟⲩⲉⲧϩ-	ⲟⲩⲟⲧϩ=		n. m.		anything cast or molten
ⲙⲁ ⲛ ⲟⲩⲱⲧϩ									crucible, melting-pot
ⲣⲉϥⲟⲩⲱⲧϩ									cup-bearer, drawer of water
ⲡ.ⲟⲩⲟⲧϩ							n. m.		cup
ⲡ.ⲟⲩⲟⲧϩⲉ	ⲟⲩⲁⲧϩⲉ						n. m.		cup
ⲟⲩⲱⲱⲗⲉ	ⲟⲩⲱⲗⲉ					ⲟⲩⲟⲟⲗⲉ (ⲟⲩⲟⲗⲉ)	vb. intr.		to become well off, to prosper, flourish (in: ⲙⲙⲟ/, ha)
ⲡ.ⲟⲩⲱⲱⲗⲉ	ⲟⲩⲱⲗⲉ						n. m.		prosperity, plenty
ϩⲛ ⲟⲩⲟⲩⲟⲟⲗⲉⲥ									in abundance
ⲟⲩⲱⲱⲙⲉ	(ⲟⲩⲱⲙⲉ  ⲟⲩⲟⲙ=)				ⲟⲩⲟⲟⲙ=		vb. intr.		to break down (emotionally)
ⲟⲩⲱⲱⲙⲉ	(ⲟⲩⲱⲙⲉ  ⲟⲩⲟⲙ=)				ⲟⲩⲟⲟⲙ=		reflex.		to accomodate (someone: ⲙⲛ)
